Category Number,Category,Sub Category,Name,What,Special Dietary Requirements 1,Special Dietary Requirements 2,Special Dietary Requirements 3,Who,Suburb,Enter Via,Contact Person,Phone,Phone 2,Freecall,Email,Website,Alternate Website,Social Media,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Public Holidays,Access,Cost,Tram routes,Nearest train station,Bus routes,Car parking,Bicycle parking,Walking,Address 1,Address 2,Latitude,Longitude,Geocoded Location
7,Food parcels and vouchers,Food Parcels,"Anglicare, St Mark’s Community Centre","Bread, fruit and vegetable ",,,,Provides assistance to homeless people,Fitzroy,,,(03) 9419 3288 ,,,frstuart@stmarksfitzroy.com,,,,12.00pm - 3.00pm,12.00pm - 3.00pm,12.00pm - 3.00pm,12.00pm - 3.00pm,12.00pm - 3.00pm,Closed,Closed,,Once per week,Free,"112, 86",N/A,,,,,,250 George Street,-37.801611000000001,144.98183499999999,"(-37.801611000000001, 144.98183499999999)"
7,Food parcels and vouchers,Food Parcels,"Presbyterian and Scots Church Joint Mission, Flemington Mission",Non Perishables,,,,Open to everyone,Flemington,,Phillip Court,(03) 9376 3777 ,,,philip.court@scotschurch.com,,,,Closed,Open,Closed,Closed,Closed,Closed,Closed,,Open 1st and 3rd of the Month. Once per week.,Free,57,Newmarket,,,,,St Stephen's Church Hall,26 Norwood Street,-37.787084,144.93081000000001,"(-37.787084, 144.93081000000001)"
7,Food parcels and vouchers,Foodbank / Pantry,RISE,Dry foods as well as fruits and vegetables,,,,"Refugees, asylum seekers and ex-detainees",Melbourne,,,(03) 9639 8623 ,,,admin@riserefugee.org,http://riserefugee.org/what-we-do/food-bank,,,Closed,Closed,10.00am - 3.00pm,Closed,Closed,10.30am - 12.30pm,Closed,Open,Once per week,Free,All Flinders and Colins St trams,Flinders St,,,,,Level 1,3/247-251 Flinders Lane,-37.816992999999997,144.966171,"(-37.816992999999997, 144.966171)"
7,Food parcels and vouchers,Food Parcels,Open House at St Peter’s and Paul’s Church,Small food parcels,,,,"Proof of residency South/Port Melbourne, Health Care Card/Pension Card",South Melbourne,,,(03) 9696 5895 ,,,sppchurch@hotmail.com,,,http://www.facebook.com/openhousesouthmelbourne/info?ref=page_internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Once per month,Free,"1, 96",N/A,,,,,St Peters and Pauls Church,377 Dorcus Street,-37.834921000000001,144.954196,"(-37.834921000000001, 144.954196)"
7,Food parcels and vouchers,Food Vouchers,"Returned Servicemen’s League, Victorian branch",Food vouchers and other services,,,,"For former or serving members of the Australian Defence Force or Allied Forces and for their dependants who are experiencing financial hardship. For further information and to ascertain if you are eligible for assistance please contact using the details provided, evidence of financial hardship for assistance to be provided",Melbourne,,"Jeff Jackson, Manager Pensions Advocacy and Welfare Support",(03) 9655 5531 ,,,jjackson@rslvic.com.au,"http://www.rslvic.com.au/veteran-support/pensions,-advocacy,-welfare-support/",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Available via application form only,Free,48,Parliament,,,,,"Returned and Services League of Australia, ANZAC House",4 Collins Street,-37.813381999999997,144.973523,"(-37.813381999999997, 144.973523)"
9,Free and cheap meals,Lunch,Wominjeka BBQ,"Offers a friendly space for the local Aboriginal and Torres Strait Islander community to meet, have lunch and a yarn",,,,"Offers a friendly space for the local Aboriginal and Torres Strait Islander community to meet, have lunch and a yarn",St Kilda,,Indigenous Access Program coordinator,(03) 9534 0981 ,,,adminenquiries@ischs.org.au,,,,11.30am,Closed,Closed,Closed,Closed,Closed,Closed,,,Free,,,,,,,Veg Out,Corner Shakespeare and Spencer Streets,-37.867511999999998,144.978981,"(-37.867511999999998, 144.978981)"
7,Food parcels and vouchers,Food Vouchers,"Positive Learning Centre, David Williams Fund",Food vouchers (and other emergency financial assistance) to people living with HIV who are experiencing financial hardship. Available via application form,,,,"Eligibility criteria: provide proof of HIV status, demonstrated receipt of Social Security Benefit or Pension, demonstrated financial hardship, resident of Victoria, provide a Centrelink income statement",South Yarra,,,(03) 9863 0444,1800 134 840 ,,lynda.horn@vac.org.au,http://www.vac.org.au/DWF,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Available via application form only,Free,72,"Prahran, South Yarra","216, 219, 220",,,,Positive Living centre,51 Commercial Road,-37.845734999999998,144.987323,"(-37.845734999999998, 144.987323)"
7,Food parcels and vouchers,Food Vouchers,"Positive Learning Centre, David Williams Fund","David Williams Fund application Form collection point only. Please refer to Positive Learning Centre, David Williams Fund for details  ",,,,"David Williams Fund application Form collection point only. Please refer to Positive Learning Centre, David Williams Fund for details  ",South Yarra,,,,,,,,,,,,,,,,,,,,,,,,,,Victorian AIDS Council/Gay Men's Health Centre,6 Claremont Street,,,
7,Food parcels and vouchers,Food Vouchers,"Positive Learning Centre, David Williams Fund","David Williams Fund application Form collection point only. Please refer to Positive Learning Centre, David Williams Fund for details  ",,,,"David Williams Fund application Form collection point only. Please refer to Positive Learning Centre, David Williams Fund for details  ",Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,"Social Work Department, Alfred Hospital",55 Commercial Rd,,,
7,Food parcels and vouchers,Food Vouchers,"Positive Learning Centre, David Williams Fund","David Williams Fund application Form collection point only. Please refer to Positive Learning Centre, David Williams Fund for details  ",,,,"David Williams Fund application Form collection point only. Please refer to Positive Learning Centre, David Williams Fund for details  ",Parkville,,,,,,,,,,,,,,,,,,,,,,,,,,"HIV Coordinator, The Royal Melbourne Hospital",300 Grattan Street,,,
7,Food parcels and vouchers,Foodbank / Pantry,Salvation Army (Project 614). The Marketplace,A supermarket style food pantry which offers a wide selection of food and other necessities to those who need them most.,,,,Open to everyone,Melbourne,,,(03) 9653 3299,,,,http://www.salvationarmy.org.au/en/Find-Us/Victoria/Melbourne614/melbourne614-services/TheMarketplace/,,,9.30am - 12.00pm,9.30am - 12.00pm,9.30am - 12.00pm,9.30am - 12.00pm,9.30am - 12.00pm,Closed,Closed,,,Free,"35, 86, 95,96",Parliament,,,,,,69 Bourke St,-37.812514999999998,144.97162800000001,"(-37.812514999999998, 144.97162800000001)"
8,Food Swap,Food Swap,Yarra Urban Harvest Swapmeet,"A monthly food swap for any excess home grown herbs, fruits and vegetables, favourite garden produce recipes, seeds, cuttings, seedlings, preserves, jams and inspirations for edible neighbourhoods. ",,,,Open to everyone,Fitzroy,,,(03) 9429 3084 ,,,peta@cultivatingcommunity.org.au,http://www.cultivatingcommunity.org.au/food-systems-projects/urban-harvest,,,Closed,Closed,Closed,Closed,Closed,10.00am - 12.00pm,Closed,,Open 1st Saturday of the month,,,,,,,,Smith’s Reserve,180 Alexandra Parade ,-37.794110000000003,144.982067,"(-37.794110000000003, 144.982067)"
8,Food Swap,Food Swap,Urban Orchard Food Swap,"The CERES Urban Orchard Project is a collection of folk from over 200 households across the inner northern suburbs of Melbourne who swap and share excess produce from their backyard gardens. Those with produce to swap, gather every Saturday at the CERES Organic Market. Members of the project leave their excess fruit, vegetables, herbs etc on the swap table and take produce others have dropped off.",,,,"Open to everyone, even if nothing to give. ",Brunswick East,,,,,,urbanorchard@ceres.org.au,http://www.ceres.org.au/Main/VisitorInformation.html,,,Closed,Closed,Closed,Closed,Closed,10.00am - 2.00pm,Closed,,"No membership required. If you are interested, come down one Saturday morning to the CERES Organic Market and visit their stall.",Free,"96 to the end of the line (intersection of Blyth and Nicholson Streets), 5 minute walk.",,"503 Essendon to East Brunswick, get off at the Lee Street stop.",Parking is available but it can be busy on market days.,Merri Creek bike path (exit at fate closest to Blyth Street/Arthurton Road bridge).,,CERES Community Environment Park,corner Roberts and Stewart Streets,-37.765112000000002,144.97756999999999,"(-37.765112000000002, 144.97756999999999)"
9,Free and cheap meals,Lunch,"Hare Krishna Temple, Crossways","All you can eat vegetarian, vegan and gluten free meals",Vegetarian,Vegan,Gluten Free,"Students, the elderly and other concession card holders",Melbourne,,,(03) 9650 2939,,,crosswaysfoodforlife@gmail.com,http://www.crosswaysfoodforlife.com.au,,,11.30am - 8.00pm,11.30am - 8.00pm,11.30am - 8.00pm,11.30am - 8.00pm,11.30am - 8.00pm,11.30am - 8.00pm,Closed,Closed,,All you can eat for $7.50 ($5.50 concession and 50 cents for takeaway),,Flinders Street,,,,,1st Floor,123 Swanston Street,-37.814832000000003,144.96588299999999,"(-37.814832000000003, 144.96588299999999)"
9,Free and cheap meals,Breakfast / Lunch,"Anglicare, The Lazarus Centre",,,,,Chronic homeless and rough sleepers,East Melbourne,,,(03) 9419 3288,0458 750 031,,,http://www.anglicare.org.au/crisis-aid,http://www.stpeters.org.au/other/lazarus.shtml,,Breakfast: 7.30am - 9.00am,Breakfast: 7.30am - 9.00am,Breakfast: 7.30am - 9.00am,Breakfast: 7.30am - 9.00am,"Breakfast: 7.30am - 9.00am,  Lunch: 11.00am",Breakfast: 7.30am - 9.00am,Breakfast: 7.30am - 9.00am,Open,BBQ lunch every Friday,Free,"11, 12, 42, 109",,,,,,St Peter’s Eastern Hill,15 Gisborne Street,-37.809910000000002,144.97548599999999,"(-37.809910000000002, 144.97548599999999)"
9,Free and cheap meals,Breakfast,"Collingwood Neighbourhood House, Men's Breakfast",Breakfast,,,,Men,Collingwood,,,(03) 9782 9398,,,,http://banh.org.au/index.php?page=collingwood-men-s-breakfast,,,Closed,Closed,10.30am - 11.30am,Closed,Closed,Closed,Closed,Closed,During school term,,,Victoria Park,,,,,Collingwood Neighbourhood House,253 Hoddle Street,-37.801488999999997,144.99161799999999,"(-37.801488999999997, 144.99161799999999)"
9,Free and cheap meals,Lunch,"Senior Citizen Centres, Food with Friends",Multicultural lunches: three course meals from different cuisines for older adults in the City of Melbourne’s Senior Citizen Centres. ,,,,Older adults (55+),South Yarra,,,(03) 98202760,(03) 9658 9190,,,,,,Closed,Closed,Closed,Closed,12.00pm,Closed,Closed,Closed,Open 2nd and 4th Friday of the month.,$6.90,,,,,,,South Yarra Senior Citizens Centre,65 Toorak Road West,-37.838106000000003,144.980028,"(-37.838106000000003, 144.980028)"
9,Free and cheap meals,Dinner,Baptist Church,Dinner,,,,Open to everyone,Melbourne,Enter via Baptist Place (basement),,(03) 9650 1180,,,,http://www.csbc.org.au/SundaysCSBC/Hospitality.aspx,,,Closed,Closed,Closed,Closed,Closed,Closed,7.00pm,,Held fortnightly,Free,,,,,,,Credo Café,174 Collins Street,-37.814960999999997,144.967725,"(-37.814960999999997, 144.967725)"
9,Free and cheap meals,Lunch,"Senior Citizen Centres, Food with Friends",Multicultural lunches: three course meals from different cuisines for older adults in the City of Melbourne’s Senior Citizen Centres. ,,,,Older adults (55+),Kensington,,,(03) 96589190,(03) 9658 9190,,,,,,Closed,Closed,Closed,12.00pm,Closed,Closed,Closed,Closed,Open 1st and 3rd Thursday of the month. Bookings are essential. Contact the centres directly.,$6.90,,,,,,,Kensignton neibourhood centre,18 Anthony Street,-37.789482,144.928144,"(-37.789482, 144.928144)"
9,Free and cheap meals,Lunch,Church of All Nations,Lunch,,,,Open to everyone,Carlton,,"Bruce Osmond, Coordinator Emergency Relief",(03) 9347 7077,,,,http://www.carlton-uca.org/news/community-support/community-lunch/,,,Closed,Lunch: 11.30am - 1.00pm,Closed,Closed,Closed,Closed,BBQ Lunch: 11.30am,Closed,BBQ lunch every 2nd Sunday of the month,$1 donation,"1, 8",,,,,,Church of All Nations,180 Palmerston Street,-37.795940999999999,144.96864199999999,"(-37.795940999999999, 144.96864199999999)"
9,Free and cheap meals,Lunch,"Senior Citizen Centres, Food with Friends",Multicultural lunches: three course meals from different cuisines for older adults in the City of Melbourne’s Senior Citizen Centres. ,,,,Older adults (55+),Carlton,,,(03) 9347 7823,(03) 9658 9190,,,,,,Closed,Closed,12:30pm,Closed,Closed,Closed,Closed,Closed,"Open 2nd and 4th Wednesday of the month, Bookings are essential. Contact the centres directly.",$6.90,,,,,,,Carlton Senior Citizens centre,180 Palmerston Street,-37.795940999999999,144.96864199999999,"(-37.795940999999999, 144.96864199999999)"
9,Free and cheap meals,Breakfast / lunch / dinner,"Hare Krishna Temple, Food For Life",,Vegetarian,Vegan,Gluten Free,Open to everyone,Albert Park,,,(03) 9699 5122,,,melbourne@iskcon.com.net.au,http://www.harekrishnamelbourne.com.au,,,"Breakfast: 8.30am - 9.30am, Lunch: 1.00pm - 2.00pm, Dinner: 6.00pm - 7.00pm","Breakfast: 8.30am - 9.30am, Lunch: 1.00pm - 2.00pm, Dinner: 6.00pm - 7.00pm","Breakfast: 8.30am - 9.30am, Lunch: 1.00pm - 2.00pm, Dinner: 6.00pm - 7.00pm","Breakfast: 8.30am - 9.30am, Lunch: 1.00pm - 2.00pm, Dinner: 6.00pm - 7.00pm","Breakfast: 8.30am - 9.30am, Lunch: 1.00pm - 2.00pm, Dinner: 6.00pm - 7.00pm","Breakfast: 8.30am - 9.30am, Lunch: 1.00pm - 2.00pm, Dinner: 6.00pm - 7.00pm","Breakfast: 8.30am - 9.30am, Lunch: 1.00pm - 2.00pm, Dinner: 6.00pm - 7.00pm",,,Free,112,,,,,,,197 Danks Street,-37.848050999999998,144.954037,"(-37.848050999999998, 144.954037)"
9,Free and cheap meals,Lunch,Carlton Neighbourhood Learning Centre,Community lunch for people with mild disabilities.,,,,Adults with mild disabilities,Carlton North ,,,(03) 9347 2739,(03) 9347 7072,,info@cnlc.org.au,http://www.cnlc.org.au,,,Closed,Closed,Closed,Lunch: 12.45pm - 1.45pm,Closed,Closed,Closed,,"Referrals and assessment required to access the program, can be a self-referral",,"96, 86",,"546, 250",Station Street ,Princes Street (close to Canning Street bicycle route),,Carlton Neighbourhood Learning Centre,20 Princes Street,-37.792659,144.975055,"(-37.792659, 144.975055)"
9,Free and cheap meals,Breakfast / lunch,"Prahran Mission Café, Prahran City Mission",Breakfast and lunch.,,,,Concession Card holders,Prahran,,,(03) 9692 9500,,,,,,,"Breakfast: 7.30am - 9.30am, Lunch: 11.00am - 2.00pm","Breakfast: 7.30am - 9.30am, Lunch: 11.00am - 2.00pm","Breakfast: 7.30am - 9.30am, Lunch: 11.00am - 2.00pm","Breakfast: 7.30am - 9.30am, Lunch: 11.00am - 2.00pm","Breakfast: 7.30am - 9.30am, Lunch: 11.00am - 2.00pm",Closed,Closed,,Need to show concession card,Breakfast $1; Lunch from $3.90,,,,,,,,211 Chapel Street,-37.851111000000003,144.99319399999999,"(-37.851111000000003, 144.99319399999999)"
9,Free and cheap meals,Lunch,The Olive Way,"Snacks, sandwiches and tea/coffee",,,,"General community but with a focus on people on low incomes, people with disabilities and/or poor mental health",Brunswick,,"Carlynne Nunn, Community Outreach Worker",0409 285 182 ,,,cnunnbrunswickuc@gmail.com,,,,Closed,10.00am - 12.00pm,10.00am - 1.30pm,10.00am - 1.30pm,Closed,Closed,Closed,,,$3,,,,,,,Brunswick Uniting Church,212-214 Sydney Road,-37.749459000000002,144.965193,"(-37.749459000000002, 144.965193)"
9,Free and cheap meals,Lunch,Asylum Seeker Resource Centre (ASRC),Hot lunches. Meals are carefully planned to ensure nutrition and a well-balanced diet,,,,"Asylum seekers, refugees who are members of the ASRC",Footscray,,,(03) 9326 6066,,,food@asrc.org.au,http://www.asrc.org.au,,,12.30pm ,12.30pm ,12.30pm ,12.30pm ,12.30pm ,Closed,Closed,,,Free,,Footscray ,,,,,,214-218 Nicholson Street,-37.803184999999999,144.89829800000001,"(-37.803184999999999, 144.89829800000001)"
9,Free and cheap meals,Lunch,"Anglicare, St Mark's Church Community Centre",Lunch,,,,Chronic homeless and rough sleepers,Fitzroy,,,(03) 9419 3288,0458 750 031,,stmarkscc@anglicare.vic.gov.au,http://www.anglicare.org.au/crisis-aid,,,11.00am - 3.00pm,11.00am - 3.00pm,11.00am - 3.00pm,11.00am - 3.00pm,11.00am - 3.00pm,Closed,Closed,,,Free,"11, 12, 42, 109",,,,,,St Mark's Church Community Centre,250 George Street,-37.801611000000001,144.98183499999999,"(-37.801611000000001, 144.98183499999999)"
9,Free and cheap meals,Dinner,"Salvation Army (Project 614), The Couch International Student Centre",Dinner. Also provides food through their Marketplace.,,,,International students,Melbourne,,"Peter Hichaaba, Couch Coordinator",0451 374 507 ,,,thecouch614@gmail.com,,,http://www.facebook.com/thecouch614,5.00pm - 9.00pm,5.00pm - 9.00pm,5.00pm - 9.00pm,5.00pm - 9.00pm,Closed,Closed,Closed,,,Free,,,,,,,,69 Bourke Street,-37.812514999999998,144.97162800000001,"(-37.812514999999998, 144.97162800000001)"
9,Free and cheap meals,Lunch,"Collingwood Neighbourhood House, Mother's Kitchen","Vegetarian lunches which usually include rice, a main vegetable dish, fried noodles or pasta, spring rolls or dumplings, salad, fruit and dessert. The cultural lunch is often Vietnamese inspired.",,,,Open to everyone,Collingwood,,,(03) 9782 9398,,,motherskitchenmelb@yahoo.com,,,,Closed,Lunch: 12.30pm - 1.00pm,Closed,Closed,Closed,Lunch: 12.30pm - 2.00pm,Closed,Closed,"Vegetarian lunch 1st Saturday of the month, cultural lunch every Tuesday. No criteria for attendance, just come along",Free,,Victoria Park,,,,,Collingwood Neighbourhood House,253 Hoddle Street,-37.801488999999997,144.99161799999999,"(-37.801488999999997, 144.99161799999999)"
9,Free and cheap meals,Dinner,"Missionaries of Charity, Men",Dinner,,,,Men only,Fitzroy,,,(03) 9417 1704,,,,,,,5.00pm,5.00pm,5.00pm,Closed,Closed,5.00pm,5.00pm,,,Free,86,,,,,,Rear ,69 George Street,-37.806424,144.98023499999999,"(-37.806424, 144.98023499999999)"
9,Free and cheap meals,Lunch,Open Table ,"Open Table is a not-for-profit food redistribution project that uses surplus food to create wholesome community feasts every month, bringing together people from all walks of life. ",Vegetarian,,,Open to everyone,Collingwood,,,,,,hello@open-table.org,http://www.open-table.org,,http://www.facebook.com/opntbl,Closed,Closed,Closed,Closed,Closed,Closed,12.00pm - 2.00pm,,4th Sunday of the month,Free,,,,,,,Collingwood Neighbourhood House,253 Hoddle Street,-37.801488999999997,144.99161799999999,"(-37.801488999999997, 144.99161799999999)"
9,Free and cheap meals,Breakfast / lunch,Ozanam Community Centre,,,,,Open to everyone. ,North Melbourne,,,(03) 9329 6733,,,,http://www.vincentcare.org.au,,,"Breakfast: 9.15am - 10.00am, Lunch: 12.00pm - 1.00pm","Breakfast: 9.15am - 10.00am, Lunch: 12.00pm - 1.00pm","Breakfast: 9.15am - 10.00am, Lunch: 12.00pm - 1.00pm","Breakfast: 9.15am - 10.00am, Lunch: 12.00pm - 1.00pm","Breakfast: 9.15am - 10.00am, Lunch: 12.00pm - 1.00pm",Closed,Closed,,"No documentation required. Drop in centre, referral not required. ","Breakfast: Free, Lunch: $2 donations welcomed",57,,,,,,,268 Abbotsford Street,-37.800795000000001,144.946225,"(-37.800795000000001, 144.946225)"
9,Free and cheap meals,Dinner,"Open Door, Seventh Day Adventist Church",Dinner,,,,Open to everyone,Fitzroy,,,(03) 9857 7977,,,,http://northfitzroy.adventist.org.au/community-services-at-nfr,,,Closed,6.30pm - 7.30pm,Closed,6.30pm - 7.30pm,Closed,Closed,6.30pm - 7.30pm,,,Free,"112, 11",,,,,,,27 Alfred Crescent,-37.786231999999998,144.98536100000001,"(-37.786231999999998, 144.98536100000001)"
9,Free and cheap meals,Lunch,Friends of the Earth Food Café,"Café offers tea/coffee, cakes and a hot meal of the day using food from their coop.",,,,Open to everyone,Collingwood,,,(03) 9417 4382,,,food@foe.org.au,http://www.melbourne.foe.org.au/?=co_op/home,,,12.00pm,12.00pm,12.00pm,12.00pm,12.00pm,12.00pm,12.00pm,,,Meals range from $10-12.50,86,,,,,,,312 Smith Street,-37.799936000000002,144.98438200000001,"(-37.799936000000002, 144.98438200000001)"
9,Free and cheap meals,Lunch,"Realfoods Café, RMIT ","The Realfoods Café is a student-run social enterprise which provides cheap organic, vegetarian and vegan meals",Vegetarian,Vegan,Gluten Free,Open to everyone (students and non-students),Melbourne,,,,,,rusu.realfoods@rmit.edu.au,http://www.su.rmit.edu.au/student-life/realfoods,,http://www.facebook.com/RUSUrealfoods,11.00am - 4.00pm,11.00am - 4.00pm,11.00am - 4.00pm,11.00am - 4.00pm,11.00am - 4.00pm,Closed,Closed,Closed,Only open during the university semester,Low cost meals,,,,,,,"RMIT University City Campus - Food Court, Building 8, Level 4",360 Swanston Street,-37.808731999999999,144.96377100000001,"(-37.808731999999999, 144.96377100000001)"
9,Free and cheap meals,Breakfast / Lunch / Dinner / Tea & Coffee,Open House at St Peters and Pauls,"Breakfast, BBQ lunch, dinner and tea/coffee",,,,"Proof of residency South/Port Melbourne, Health Care Card/Pension Card",South Melbourne,,,(03) 9696 5895 ,,,sppchurch@hotmail.com,http://www.openhousesouthmelbourne.org.au,,http://www.facebook.com/openhousesouthmelbourne/info?ref=page_internal,"Dinner: 5.00pm, Tea/Coffee: 11.00am - 3.00pm","Dinner: 5.00pm, Tea/Coffee: 11.00am - 3.00pm","Breakfast: 10.00am, Tea/Coffee: 11.00am - 3.00pm",Tea/Coffee: 11.00am - 3.00pm,"BBQ Lunch: 12.30pm, Tea/Coffee: 11.00am - 3.00pm",Closed,Closed,,,Free,"1, 96",,,,,,St Peters and Pauls Church,377 Dorcus Street,-37.834921000000001,144.954196,"(-37.834921000000001, 144.954196)"
9,Free and cheap meals,Lunch,Open Table ,"Open Table is a not-for-profit food redistribution project that uses surplus food to create wholesome community feasts every month, bringing together people from all walks of life. ",Vegetarian,,,Open to everyone,Brunswick,,,,,,hello@open-table.org,http://www.open-table.org,,http://www.facebook.com/opntbl,Closed,Closed,Closed,Closed,Closed,Closed,12.00pm - 2.00pm,,1st Sunday of the month,Free,,,,,,,Brunswick Neighbourhood House,43a De Carle Street,-37.760438000000001,144.96486200000001,"(-37.760438000000001, 144.96486200000001)"
9,Free and cheap meals,Breakfast / lunch,The Kitchen ,Continental style breakfasts and the occasional cooked breakfast and lunch. Includes two courses with the main course generally including meat. Tea and coffee facilities also provided.,,,,Main target group is homeless people. Restricted to those over 18 years of age.,North Melbourne,,Jim Davison (Many Rooms Management) ,(03) 9320 4700 ,(03) 8325 1820,,,http://www.manyrooms.org.au,,,Closed,Closed,Closed,Closed,Closed,"Breakfast: 8.45am - 10.00am, Lunch: 12.00pm - 3.00pm",Closed,Open,,Free,59,Southern Cross Station,,,Get onto the Capital City Trail under City Link and turn off at Macaulay Station,,North Melbourne YMCA Community Centre,49 Buncle Street,-37.793204000000003,144.940585,"(-37.793204000000003, 144.940585)"
9,Free and cheap meals,On Street Service,Matthew Talbot Fitzroy Soup Van,"Sandwiches, sausage rolls, meat pies, pasties, tea/coffee and cordial",,,,Open to everyone,South Melbourne,,,(03) 9895 5804,,,info@sudp.vic.gov.au,,,,9.15pm - 9.30pm,9.15pm - 9.30pm,9.15pm - 9.30pm,9.15pm - 9.30pm,9.15pm - 9.30pm,9.15pm - 9.30pm,9.15pm - 9.30pm,Open,Times are approximate,Free,,,,,,,Hanover House,52 Haig Street,-37.827398000000002,144.95626799999999,"(-37.827398000000002, 144.95626799999999)"
9,Free and cheap meals,Morning Tea,Carlton Neighbourhood Learning Centre,Morning tea for Seniors at the Carlton Housing Estate.,,,,Seniors at the Carlton Housing Estate,Carlton,,,(03) 9347 2739,(03) 9347 7072,,info@cnlc.org.au,http://www.cnlc.org.au,,,Morning Tea: 10.00am - 12.00pm,Closed,Closed,Closed,Closed,Closed,Closed,,"Referrals and assessment required to access the program, can be a self-referral",,,,,,,,Carlton Neighbourhood Learning Centre,530 Lygon Street ,-37.793785,144.96832000000001,"(-37.793785, 144.96832000000001)"
9,Free and cheap meals,Morning Tea,The Centre,"Drop in morning teas, nutrition information is also provided",,,,Open to everyone,North Melbourne,,,(03) 9328 1126,,,admin@centre.org.au,http://www.centre.org.au,,,Closed,10.30am - 12.00pm,Closed,Closed,Closed,Closed,Closed,Closed,1st Tuesday of the month.,$3,"57, 59, 19",,401,,,,,58 Errol Street,-37.803784999999998,144.94982400000001,"(-37.803784999999998, 144.94982400000001)"
9,Free and cheap meals,Breakfast / lunch,"Salvation Army (Project 614), Hamodava Café",Breakfast and lunch. Also provides food through their Marketplace.,,,,"People who are homeless, marginalised",Melbourne,,Linh Nguyen,(03) 9653 3299,(03) 9653 3213,,,http://www.salvationarmy.org.au/en/Find-Us/Victoria/Melbourne614/melbourne614-services/HamodavaCafe/,,,"Breakfast: 9.00am - 10.30am, Lunch: 11.30am - 1pm","Breakfast: 9.00am - 10.30am, Lunch: 11.30am - 1pm","Breakfast: 9.00am - 10.30am, Lunch: 11.30am - 1pm","Breakfast: 9.00am - 10.30am, Lunch: 11.30am - 1pm","Breakfast: 9.00am - 10.30am, Lunch: 11.30am - 1pm",Closed,Closed,,,Free,,,,,,,,69 Bourke Street,-37.812514999999998,144.97162800000001,"(-37.812514999999998, 144.97162800000001)"
9,Free and cheap meals,Breakfast / Lunch / Morning tea / Afternoon tea,"Coolibah Centre, Brotherhood of St Laurence",,,,,Over 55s and members only,Fitzroy,,,(03) 9483 1345,,,bacci@bsl.org.au,http://www.BSL.org.au,,,"Breakfast: 8.30am - 9.00am, Morning Tea: 10.00am, Lunch: 12.00pm, Afternoon Tea: 1.30pm","Breakfast: 8.30am - 9.00am, Morning Tea: 10.00am, Lunch: 12.00pm, Afternoon Tea: 1.30pm","Breakfast: 8.30am - 9.00am, Morning Tea: 10.00am, Lunch: 12.00pm, Afternoon Tea: 1.30pm","Breakfast: 8.30am - 9.00am, Morning Tea: 10.00am, Lunch: 12.00pm, Afternoon Tea: 1.30pm","Breakfast: 8.30am - 9.00am, Morning Tea: 10.00am, Lunch: 12.00pm, Afternoon Tea: 1.30pm","Morning Tea: 10.00am, Lunch: 12.00pm, Afternoon Tea: 1.30pm","Morning Tea: 10.00am, Lunch: 12.00pm, Afternoon Tea: 1.30pm",,"Need to be a member, bookings are essential.","Breakfast: $1, Morning Tea: Free, Lunch: $3 members or $7 non-members, Afternoon Tea: 20 cents","112, 86",,,,,,"Coolibah Centre, Brotherhood of St Laurence",76a Brunswick Street,-37.778354999999998,144.96853899999999,"(-37.778354999999998, 144.96853899999999)"
9,Free and cheap meals,Lunch,The Living Room,"Offers snack foods in its drop in areas, with food ranging from bread, fresh fruit, sandwiches and tea/coffee",,,,Open to everyone,Melbourne,,,(03) 9945 2100,,,,,,,1.00pm - 4.00pm,1.00pm - 4.00pm,1.00pm - 4.00pm,1.00pm - 4.00pm,1.00pm - 4.00pm,Closed,Closed,Closed,"Drop in between 1-4pm, all other times by appointment.",Free,,,,,,,,7-9 Hosier Lane,-37.816296999999999,144.96902900000001,"(-37.816296999999999, 144.96902900000001)"
9,Free and cheap meals,Dinner,Meals at the Bridge,"Pop-up Café that offers a three-course nutritious, home cooked meal",,,,"Aimed at people who are homeless, marginalised, socially disadvantaged ",Melbourne,,,(03) 9836 7040,,,contact@mealsatthebridge.org,http://www.mealsatthebridge.org,,,Closed,Closed,Closed,Closed,5.00pm,Closed,Closed,,,Free,,,,,,,Batman Park ,80 Rebecca Walk,-37.821471000000003,144.956706,"(-37.821471000000003, 144.956706)"
